Designator,Mid X,Mid Y,Rotation,Layer
C1,177.45,-70.36,90.0,top
C10,189.04,-61.47,90.0,top
C2,187.46,-90.7,90.0,top
C3,187.7,-111.0,90.0,top
C4,169.42,-91.59,90.0,top
C5,169.26,-97.73,90.0,top
C6,169.42,-104.77,90.0,top
C7,193.194888,-64.0,0.0,top
C8,193.69,-50.79,0.0,top
C9,198.71,-51.85,90.0,top
D1,176.2,-55.49,90.0,top
D2,175.52,-80.16,90.0,top
D3,175.17,-104.05,90.0,top
D4,156.88,-56.53,90.0,top
D5,155.86,-80.43,90.0,top
D6,155.43,-104.86,90.0,top
D7,186.6,-54.21,270.0,top
J1,187.67,-49.63,90.0,top
Q1,181.2,-60.93,0.0,top
Q10,162.74,-61.4,0.0,top
Q11,162.83,-68.08,0.0,top
Q12,162.83,-74.58,0.0,top
Q13,162.82,-81.71,0.0,top
Q14,162.69,-88.71,0.0,top
Q15,162.76,-95.68,0.0,top
Q16,162.65,-102.12,0.0,top
Q17,162.65,-108.53,0.0,top
Q18,163.03,-115.28,0.0,top
Q2,181.24,-67.28,0.0,top
Q3,181.34,-73.78,0.0,top
Q4,181.38,-80.46,0.0,top
Q5,181.67,-87.19,0.0,top
Q6,181.77,-94.57,0.0,top
Q7,181.85,-101.74,0.0,top
Q8,181.71,-108.26,0.0,top
Q9,181.81,-114.83,0.0,top
R1,176.76,-64.2625,90.0,top
R10,177.66,-84.7075,90.0,top
R11,175.6275,-110.08,0.0,top
R12,173.9475,-114.92,0.0,top
R13,157.94,-74.5975,90.0,top
R14,167.69,-76.4525,90.0,top
R15,157.67,-86.4,90.0,top
R16,156.8925,-61.34,180.0,top
R17,152.96,-72.0475,270.0,top
R18,154.46,-96.3475,270.0,top
R19,153.1575,-88.54,0.0,top
R2,176.5,-60.5375,270.0,top
R20,152.0475,-92.51,0.0,top
R21,157.9375,-99.63,0.0,top
R22,157.7675,-109.09,0.0,top
R23,171.49,-66.3375,270.0,top
R24,175.1,-84.7725,90.0,top
R3,186.26,-73.4925,90.0,top
R4,176.47,-74.7075,90.0,top
R5,186.46,-84.49,90.0,top
R6,186.81,-80.7325,90.0,top
R7,176.57,-89.9925,90.0,top
R8,187.27,-96.9275,90.0,top
R9,186.31,-105.3225,90.0,top
U1,195.37,-57.3775,180.0,top
